,_id1,_id2,title_cleaned,references_cleaned,capacity,colors1_for_cap,colors2_for_row,common_colors,num_common_colors
96,['666baeb89793e149fe7394a8'],6892cde0a79a1867093a030d,iphone 13,iphone 13,128GB,"['Green', 'Red', 'Midnight', 'Pink', 'Blue', 'Starlight']","['Đen', 'Trắng', 'Đỏ', 'Xanh', 'Hồng', 'Xanh lá']",[],0
97,['666baeb99793e149fe7394e7'],6892ce0aa79a1867093a0493,realme c3,realme c3,32GB,[],"['Đỏ', 'Xanh']",[],0
98,"['666baeb79793e149fe739446', '666baeb79793e149fe739470']",6892cdc0a79a1867093a02f1,realme c30s,realme c30s,64GB,"['Xanh', 'Đen']",['Đen'],['Đen'],1
99,"['666baeb49793e149fe7393bc', '666baeb69793e149fe739415']",6892cd9ba79a1867093a02ca,samsung galaxy a05s,samsung galaxy a05s,128GB,"['Đen', 'Xanh', 'Bạc']","['Đen', 'Xanh', 'Bạc']","['Xanh', 'Bạc', 'Đen']",3
100,"['666baeb49793e149fe7393bc', '666baeb69793e149fe739415']",6892cd9ba79a1867093a02ca,samsung galaxy a05s,samsung galaxy a05s,128GB,"['Xanh', 'Đen', 'Bạc']","['Đen', 'Xanh', 'Bạc']","['Xanh', 'Bạc', 'Đen']",3
101,['666baeb99793e149fe7394d8'],6892ce0aa79a1867093a0482,oppo a12,oppo a12,32GB,[],"['Xanh', 'Bạc']",[],0
102,['666baeb99793e149fe7394d3'],6892ce17a79a1867093a0529,oppo reno4 pro,oppo reno4 pro,256GB,[],"['Trắng', 'Đen']",[],0
103,['666baeb69793e149fe739406'],6892ce13a79a1867093a04ef,xiaomi 13t,xiaomi 13t,256GB,"['Xanh Dương', 'Xanh Lá', 'Đen']",['Xanh lá'],[],0
104,"['666baeb99793e149fe7394c6', '666baeb99793e149fe7394c5']",6892cde6a79a1867093a0313,iphone 12,iphone 12,128GB,"['Black', 'Blue', 'White', 'Red', 'Green', 'Purple']","['Đỏ', 'Xanh lá', 'Đen', 'Trắng', 'Xanh', 'Tím']",[],0
105,"['666baeb99793e149fe7394c6', '666baeb99793e149fe7394c5']",6892cde6a79a1867093a0313,iphone 12,iphone 12,64GB,"['Green', 'Purple', 'Black', 'Blue', 'White', 'Red']","['Đỏ', 'Xanh lá', 'Đen', 'Trắng', 'Xanh', 'Tím']",[],0
106,['666baeb99793e149fe7394df'],6892cdf4a79a1867093a038d,samsung galaxy note 10 lite,samsung galaxy note 10 lite,128GB,[],"['Đen', 'Bạc']",[],0
107,['666baeb69793e149fe739416'],6892cd9ba79a1867093a02c9,samsung galaxy a05,samsung galaxy a05,128GB,"['Đen', 'Xanh', 'Bạc']","['Đen', 'Bạc', 'Xanh']","['Xanh', 'Bạc', 'Đen']",3
108,['666baeb59793e149fe7393d3'],6892ce13a79a1867093a04ed,oppo reno11 f 5g,oppo reno11 f 5g,256GB,"['Xanh Đen', 'Xanh']","['Xanh Đen', 'Xanh']","['Xanh', 'Xanh Đen']",2
109,['666baeb99793e149fe7394d4'],6892ce1ba79a1867093a054b,oppo reno4,oppo reno4,128GB,[],['Tím'],[],0
110,['666baeb99793e149fe7394ec'],6892cdeba79a1867093a0323,iphone 11,iphone 11,128GB,"['White', 'Black', 'Red', 'Green', 'Purple']","['Trắng', 'Đen']",[],0
111,['666baeb89793e149fe739495'],6892ce05a79a1867093a0455,samsung galaxy a73 5g,samsung galaxy a73 5g,128GB,[],"['Xám', 'Trắng', 'Xanh']",[],0
112,['666baeb69793e149fe739414'],6892cd9ba79a1867093a02c8,samsung galaxy m34 5g,samsung galaxy m34 5g,128GB,"['Xanh Nhạt', 'Xanh đậm']","['Xanh Nhạt', 'Xanh Đậm']",['Xanh Nhạt'],1
113,['666baeb59793e149fe7393d1'],6892cd90a79a1867093a02c0,honor x7b,honor x7b,256GB,"['Bạc', 'Đen']","['Xanh', 'Bạc', 'Đen']","['Bạc', 'Đen']",2
114,['666baeb79793e149fe73943c'],6892cdc0a79a1867093a02ef,honor x9a 5g,honor x9a 5g,256GB,"['Đen', 'Xanh Lá', 'Bạc']","['Xanh', 'Bạc', 'Đen']","['Bạc', 'Đen']",2
115,['666baeb89793e149fe7394b6'],6892ce17a79a1867093a0512,realme c20,realme c20,32GB,[],"['Đen', 'Xanh']",[],0
116,['666baeb89793e149fe7394b1'],6892cde0a79a1867093a030c,realme c25,realme c25,128GB,[],"['Đen', 'Xanh']",[],0
117,['666baeb69793e149fe739417'],6892cda6a79a1867093a02d2,honor x6a,honor x6a,128GB,"['Bạc Ánh Sao', 'Đen Huyền Bí']","['Đen', 'Bạc']",[],0
118,['666baeb79793e149fe73946d'],6892ce13a79a1867093a04fa,xiaomi 12t,xiaomi 12t,128GB,[],"['Đen', 'Bạc']",[],0
119,['666baeb79793e149fe739454'],6892cdb6a79a1867093a02e4,xiaomi 13,xiaomi 13,256GB,[],['Đen'],[],0
120,['666baeb79793e149fe73946e'],6892ce05a79a1867093a0442,vivo v25 5g,vivo v25 5g,128GB,"['Vàng', 'Đen']","['Đen', 'Vàng']","['Vàng', 'Đen']",2
121,['666baeb99793e149fe7394e1'],6892cdf4a79a1867093a038c,samsung galaxy a71,samsung galaxy a71,128GB,[],"['Xanh', 'Bạc', 'Đen']",[],0
122,['666baeb99793e149fe7394c8'],6892ce0aa79a1867093a046a,realme 7i,realme 7i,128GB,[],['Nâu'],[],0
123,['666baeb89793e149fe7394bc'],6892ce0aa79a1867093a0486,realme c15,realme c15,64GB,[],['Bạc'],[],0
124,['666baeb59793e149fe739401'],6892cd95a79a1867093a02c5,honor x5 +,honor x5 +,64GB,"['Đen', 'Xanh']","['Đen', 'Xanh']","['Xanh', 'Đen']",2
125,"['666baeb89793e149fe739485', '666baeb89793e149fe739486']",6892cdf0a79a1867093a0345,vivo t1x,vivo t1x,64GB,"['Xanh', 'Đen']","['Xanh', 'Đen']","['Xanh', 'Đen']",2
